Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
26R_S25_R1_001	(1.0, 4.451845753875803)	(2.0, 1.5885161703591606)	(3.0, 0.8583529815621164)	(4.0, 0.6396059601934)	(5.0, 0.4872695393533495)	(6.0, 0.4252338629706286)	(7.0, 0.38127215105878304)	(8.0, 0.34852914967361515)	(9.0, 0.30447561422650554)	('>10', 6.257155426317144)	('>50', 3.929764746827084)	('>100', 13.388284985282548)	('>500', 7.902180166493671)	('>1k', 21.568708659021446)	('>5k', 9.427337867654984)	('>10k+', 28.04146696512962)
26R_S25_R2_001	(1.0, 5.79524539128757)	(2.0, 1.5406316160678664)	(3.0, 0.8822697422541934)	(4.0, 0.6263131393903132)	(5.0, 0.505623906184843)	(6.0, 0.46541250285885405)	(7.0, 0.39773492504176683)	(8.0, 0.3514347244106723)	(9.0, 0.3357806107303813)	('>10', 7.003954076357785)	('>50', 4.516829866745196)	('>100', 15.298922573927479)	('>500', 9.091747834175036)	('>1k', 23.825679620505362)	('>5k', 10.098182459872483)	('>10k+', 19.26423701019031)
27R_S26_R1_001	(1.0, 3.7337939400251603)	(2.0, 1.2952083715844496)	(3.0, 0.7250142276927126)	(4.0, 0.5391427401125538)	(5.0, 0.43305116806852195)	(6.0, 0.37715660715330024)	(7.0, 0.3204306640172984)	(8.0, 0.27983505174443724)	(9.0, 0.27228829526368536)	('>10', 5.2784969496645)	('>50', 3.005309971551352)	('>100', 10.32463251162474)	('>500', 6.297451785345166)	('>1k', 18.269386880998752)	('>5k', 9.895214700113995)	('>10k+', 38.95358613503941)
27R_S26_R2_001	(1.0, 4.616184712840718)	(2.0, 1.3038288879821704)	(3.0, 0.7396966265311977)	(4.0, 0.5329713388895269)	(5.0, 0.43882645646833335)	(6.0, 0.36565210653242397)	(7.0, 0.3357040064197073)	(8.0, 0.2853865669969464)	(9.0, 0.2775401012962163)	('>10', 5.5243416613029135)	('>50', 3.3523234224227627)	('>100', 11.192083695854754)	('>500', 6.675817436980361)	('>1k', 20.90983168150484)	('>5k', 10.83126657663668)	('>10k+', 32.618544721340434)
28R_S27_R1_001	(1.0, 4.052360533782596)	(2.0, 1.6318620965757444)	(3.0, 1.0376199780777702)	(4.0, 0.763123553226017)	(5.0, 0.6388643350400491)	(6.0, 0.5418131229712579)	(7.0, 0.4941963393189307)	(8.0, 0.4411804760145552)	(9.0, 0.4069103723539375)	('>10', 8.401223207367318)	('>50', 4.982045676436784)	('>100', 15.948968459279614)	('>500', 8.651911507554967)	('>1k', 21.011379369425605)	('>5k', 7.849744461216819)	('>10k+', 23.14679651135804)
28R_S27_R2_001	(1.0, 5.249021600276649)	(2.0, 1.589476356711804)	(3.0, 0.9911098930802791)	(4.0, 0.8006506350790316)	(5.0, 0.6208963422402428)	(6.0, 0.5474543722552474)	(7.0, 0.5001902246091973)	(8.0, 0.4773338636070438)	(9.0, 0.4208351849184003)	('>10', 9.53763405965605)	('>50', 5.835743994199351)	('>100', 18.487321377149442)	('>500', 9.597188891869324)	('>1k', 21.165235278396217)	('>5k', 8.0883879805099)	('>10k+', 16.091519945441764)
29R_S28_R1_001	(1.0, 4.26815967298342)	(2.0, 1.3152041557005636)	(3.0, 0.7750420447064943)	(4.0, 0.5573662510539544)	(5.0, 0.4579244018527606)	(6.0, 0.40131714146519354)	(7.0, 0.34121786361901135)	(8.0, 0.31504544938629553)	(9.0, 0.2984254811837749)	('>10', 5.636969275483945)	('>50', 3.3278897460361514)	('>100', 11.169592937463166)	('>500', 6.540080392974736)	('>1k', 18.33304254429702)	('>5k', 8.548227777563111)	('>10k+', 37.71449486423038)
29R_S28_R2_001	(1.0, 4.808078280220042)	(2.0, 1.252555611961434)	(3.0, 0.7244942684222707)	(4.0, 0.5432396432366005)	(5.0, 0.4521184044786351)	(6.0, 0.39213710617418435)	(7.0, 0.352878073236638)	(8.0, 0.33064709270276604)	(9.0, 0.2847373339868532)	('>10', 6.087518200908955)	('>50', 3.7297648362260003)	('>100', 12.739421918181817)	('>500', 7.445610992976818)	('>1k', 21.346635116762847)	('>5k', 10.47442112355724)	('>10k+', 29.035741996966973)
2R_S8_R1_001	(1.0, 3.2938166553656374)	(2.0, 1.8271485518828494)	(3.0, 1.592121753287845)	(4.0, 1.3347208990423174)	(5.0, 1.1544738906751302)	(6.0, 0.9614209030568335)	(7.0, 0.8145101641222217)	(8.0, 0.6711209368589873)	(9.0, 0.595931690463145)	('>10', 9.804231982670332)	('>50', 5.5156164326395185)	('>100', 17.10683270518661)	('>500', 9.188654438564885)	('>1k', 22.184268229195574)	('>5k', 8.68100082565878)	('>10k+', 15.274129941329154)
2R_S8_R2_001	(1.0, 4.7571367923863725)	(2.0, 1.7217496397266365)	(3.0, 1.410556773253477)	(4.0, 1.1989841152836478)	(5.0, 0.9988174833581678)	(6.0, 0.8402558799175894)	(7.0, 0.7059211441305108)	(8.0, 0.6322059170263441)	(9.0, 0.5731345866029058)	('>10', 11.122229556750654)	('>50', 6.8409832415134915)	('>100', 22.092152676881856)	('>500', 11.17734633860865)	('>1k', 23.510560541592593)	('>5k', 6.741514608025318)	('>10k+', 5.6764507049419235)
30R_S29_R1_001	(1.0, 5.078654743052142)	(2.0, 1.6471004146893908)	(3.0, 0.8930466233479734)	(4.0, 0.6066893850070179)	(5.0, 0.48309741505942916)	(6.0, 0.39277717438610066)	(7.0, 0.3347477206992133)	(8.0, 0.2903682066464909)	(9.0, 0.26731519894756894)	('>10', 5.1905110064686)	('>50', 2.9877870220128404)	('>100', 9.900535091200101)	('>500', 5.92011364766594)	('>1k', 17.466358654695508)	('>5k', 8.337726211896138)	('>10k+', 40.20317148422558)
30R_S29_R2_001	(1.0, 6.285710611841763)	(2.0, 1.6337386394564914)	(3.0, 0.8881803757785082)	(4.0, 0.5792444700060245)	(5.0, 0.44710296627501767)	(6.0, 0.3663161935352031)	(7.0, 0.337021090544544)	(8.0, 0.2985928220366138)	(9.0, 0.27880938575519665)	('>10', 5.353859507602013)	('>50', 3.236505618911356)	('>100', 10.827742042525802)	('>500', 6.343770100946994)	('>1k', 18.618389718907117)	('>5k', 9.56174562443291)	('>10k+', 34.943270831444494)
31R_S30_R1_001	(1.0, 4.148465189143489)	(2.0, 1.4289906384076192)	(3.0, 0.843631248642561)	(4.0, 0.6111821265078807)	(5.0, 0.47912090253860823)	(6.0, 0.42855005748061215)	(7.0, 0.3729744003670589)	(8.0, 0.33948730591343024)	(9.0, 0.30523815534744786)	('>10', 5.826332257620713)	('>50', 3.5207979394469837)	('>100', 11.73049931424755)	('>500', 7.205475971134826)	('>1k', 21.597321938372936)	('>5k', 10.31744249281701)	('>10k+', 30.84449006201136)
31R_S30_R2_001	(1.0, 5.886005350019166)	(2.0, 1.4967148617743933)	(3.0, 0.8805286922713431)	(4.0, 0.614933918547438)	(5.0, 0.5147682667141483)	(6.0, 0.4426452273315702)	(7.0, 0.3745937845177235)	(8.0, 0.33624803742731335)	(9.0, 0.3257731266579211)	('>10', 6.212061189002345)	('>50', 3.812447829409381)	('>100', 14.09274793451847)	('>500', 8.897703126874434)	('>1k', 25.195624880604488)	('>5k', 10.674313154757774)	('>10k+', 20.242890619572027)
32R_S31_R1_001	(1.0, 4.223661119863842)	(2.0, 1.4681915481349843)	(3.0, 0.9348392789783753)	(4.0, 0.726118899703272)	(5.0, 0.6032330403919094)	(6.0, 0.5217414110097035)	(7.0, 0.47819514393668894)	(8.0, 0.414504777364328)	(9.0, 0.38043996265547275)	('>10', 7.688881435191099)	('>50', 4.534350809094938)	('>100', 14.617924910962252)	('>500', 8.248396761605042)	('>1k', 19.98300354320543)	('>5k', 8.69374534992225)	('>10k+', 26.482772007980426)
32R_S31_R2_001	(1.0, 5.574262998401473)	(2.0, 1.6347663153790888)	(3.0, 0.9972957846688403)	(4.0, 0.7748665088437728)	(5.0, 0.6706798392121502)	(6.0, 0.5530699976733446)	(7.0, 0.474437789286481)	(8.0, 0.48593351752158254)	(9.0, 0.42453916729365904)	('>10', 8.900108376842269)	('>50', 5.454023980289939)	('>100', 17.136948882816288)	('>500', 8.85400421348805)	('>1k', 21.41102769773617)	('>5k', 8.54304030102433)	('>10k+', 18.11099462952247)
33R_S32_R1_001	(1.0, 5.744654670206241)	(2.0, 1.884957888688336)	(3.0, 0.9965875940070973)	(4.0, 0.6836968204811714)	(5.0, 0.5435439410153197)	(6.0, 0.43893105679777566)	(7.0, 0.3723705973725932)	(8.0, 0.35179792697101386)	(9.0, 0.3260151892509675)	('>10', 6.214884150473145)	('>50', 3.8285078707085827)	('>100', 12.652929757872602)	('>500', 7.059226979381597)	('>1k', 18.67991654221376)	('>5k', 9.14273489574371)	('>10k+', 31.079244118816092)
33R_S32_R2_001	(1.0, 7.0183303073749395)	(2.0, 1.8469531927215719)	(3.0, 0.9779997700857791)	(4.0, 0.6807630762546717)	(5.0, 0.5370876994446511)	(6.0, 0.43479726154281756)	(7.0, 0.3914953293921281)	(8.0, 0.34039493610907723)	(9.0, 0.325993764023379)	('>10', 6.776272923269536)	('>50', 4.259067517191673)	('>100', 13.9740034333034)	('>500', 7.795349678321917)	('>1k', 20.633465570545802)	('>5k', 9.063152059366866)	('>10k+', 24.944873481051673)
34R_S33_R1_001	(1.0, 7.292127475723836)	(2.0, 2.1640740033573547)	(3.0, 1.0365321201442175)	(4.0, 0.7254223737965386)	(5.0, 0.5880063982474774)	(6.0, 0.4760170512160543)	(7.0, 0.419653857568823)	(8.0, 0.3695656557803156)	(9.0, 0.33620016997600527)	('>10', 6.648087318513364)	('>50', 3.827580127851329)	('>100', 12.599341281093942)	('>500', 6.879811041582973)	('>1k', 17.60849745160583)	('>5k', 8.348929425817287)	('>10k+', 30.680154247724666)
34R_S33_R2_001	(1.0, 9.198645892478934)	(2.0, 2.168372461941692)	(3.0, 1.083968090336153)	(4.0, 0.7502983515058204)	(5.0, 0.5743074438575988)	(6.0, 0.5074976941862337)	(7.0, 0.42545609589389255)	(8.0, 0.3871470806166019)	(9.0, 0.36366851655091326)	('>10', 7.214921295308378)	('>50', 4.45310324042417)	('>100', 14.219976209998183)	('>500', 7.576410539662046)	('>1k', 19.578526113379272)	('>5k', 8.756631425834795)	('>10k+', 22.741069548025283)
