Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
26R_S25_R2	(25, 64.0)	(30, 138.0)	(35, 144.0)	(40, 217.0)	(45, 318.0)	(50, 447.0)	(55, 423.0)	(60, 476.0)	(65, 486.0)	(70, 633.0)	(75, 676.0)	(80, 1338.0)	(85, 1176.0)	(90, 1591.0)	(95, 1609.0)	(100, 1298.0)	(105, 2520.0)	(110, 2527.0)	(115, 3966.0)	(120, 5065.0)	(125, 6275.0)	(130, 3306.0)	(135, 790.0)	(140, 2647.0)	(145, 40594.0)	(150, 1155126.0)
27R_S26_R1	(25, 284.0)	(30, 634.0)	(35, 3717.0)	(40, 950.0)	(45, 1254.0)	(50, 1025.0)	(55, 885.0)	(60, 751.0)	(65, 683.0)	(70, 529.0)	(75, 439.0)	(80, 373.0)	(85, 332.0)	(90, 304.0)	(95, 445.0)	(100, 501.0)	(105, 523.0)	(110, 507.0)	(115, 569.0)	(120, 504.0)	(125, 482.0)	(130, 344.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 1168361.0)
27R_S26_R2	(25, 86.0)	(30, 111.0)	(35, 119.0)	(40, 199.0)	(45, 293.0)	(50, 349.0)	(55, 323.0)	(60, 337.0)	(65, 390.0)	(70, 343.0)	(75, 366.0)	(80, 401.0)	(85, 433.0)	(90, 645.0)	(95, 693.0)	(100, 651.0)	(105, 771.0)	(110, 943.0)	(115, 1474.0)	(120, 1366.0)	(125, 1128.0)	(130, 834.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 1172141.0)
28R_S27_R1	(25, 918.0)	(30, 2483.0)	(35, 4913.0)	(40, 2457.0)	(45, 2385.0)	(50, 2237.0)	(55, 1398.0)	(60, 1130.0)	(65, 961.0)	(70, 883.0)	(75, 776.0)	(80, 558.0)	(85, 458.0)	(90, 480.0)	(95, 602.0)	(100, 785.0)	(105, 894.0)	(110, 1012.0)	(115, 1028.0)	(120, 1043.0)	(125, 821.0)	(130, 574.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 2481691.0)
28R_S27_R2	(25, 236.0)	(30, 288.0)	(35, 383.0)	(40, 427.0)	(45, 633.0)	(50, 785.0)	(55, 641.0)	(60, 631.0)	(65, 538.0)	(70, 597.0)	(75, 502.0)	(80, 349.0)	(85, 311.0)	(90, 295.0)	(95, 372.0)	(100, 557.0)	(105, 588.0)	(110, 767.0)	(115, 912.0)	(120, 866.0)	(125, 662.0)	(130, 527.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 2498620.0)
29R_S28_R1	(25, 589.0)	(30, 1438.0)	(35, 2036.0)	(40, 1903.0)	(45, 2191.0)	(50, 2083.0)	(55, 1573.0)	(60, 1165.0)	(65, 990.0)	(70, 689.0)	(75, 437.0)	(80, 449.0)	(85, 430.0)	(90, 370.0)	(95, 454.0)	(100, 627.0)	(105, 577.0)	(110, 655.0)	(115, 637.0)	(120, 575.0)	(125, 492.0)	(130, 300.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 899313.0)
29R_S28_R2	(25, 154.0)	(30, 248.0)	(35, 306.0)	(40, 355.0)	(45, 504.0)	(50, 626.0)	(55, 532.0)	(60, 562.0)	(65, 573.0)	(70, 449.0)	(75, 358.0)	(80, 337.0)	(85, 387.0)	(90, 306.0)	(95, 410.0)	(100, 523.0)	(105, 477.0)	(110, 513.0)	(115, 514.0)	(120, 489.0)	(125, 346.0)	(130, 229.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 910775.0)
2R_S8_R1	(25, 661.0)	(30, 2096.0)	(35, 3708.0)	(40, 1815.0)	(45, 2324.0)	(50, 2317.0)	(55, 1456.0)	(60, 1652.0)	(65, 2427.0)	(70, 1400.0)	(75, 1192.0)	(80, 1096.0)	(85, 661.0)	(90, 556.0)	(95, 737.0)	(100, 905.0)	(105, 1163.0)	(110, 1396.0)	(115, 1467.0)	(120, 1398.0)	(125, 1156.0)	(130, 807.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 2222531.0)
2R_S8_R2	(25, 139.0)	(30, 122.0)	(35, 151.0)	(40, 252.0)	(45, 413.0)	(50, 664.0)	(55, 631.0)	(60, 622.0)	(65, 744.0)	(70, 682.0)	(75, 637.0)	(80, 505.0)	(85, 486.0)	(90, 500.0)	(95, 1177.0)	(100, 1515.0)	(105, 1561.0)	(110, 2006.0)	(115, 2341.0)	(120, 2080.0)	(125, 1893.0)	(130, 1377.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 2234423.0)
30R_S29_R1	(25, 724.0)	(30, 2142.0)	(35, 2444.0)	(40, 2048.0)	(45, 2060.0)	(50, 1753.0)	(55, 1420.0)	(60, 1195.0)	(65, 993.0)	(70, 745.0)	(75, 566.0)	(80, 523.0)	(85, 748.0)	(90, 559.0)	(95, 761.0)	(100, 889.0)	(105, 1020.0)	(110, 958.0)	(115, 1032.0)	(120, 851.0)	(125, 785.0)	(130, 493.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 1720876.0)
