Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
25R_S24_R1	(1.0, 39.196254446036995)	(2.0, 9.559855400480696)	(3.0, 4.023975851866838)	(4.0, 2.4375707396736295)	(5.0, 1.834915056471185)	(6.0, 1.4445683716006308)	(7.0, 1.211229948946468)	(8.0, 1.0317628561527337)	(9.0, 0.932085097730986)	('>10', 15.091258902123016)	('>50', 6.132714681372599)	('>100', 12.403870786676755)	('>500', 2.7462027096535664)	('>1k', 1.1591464269325584)	('>5k', 0.794588724281328)	('>10k+', 0.0)
25R_S24_R2	(1.0, 42.792680065281836)	(2.0, 8.844102167506518)	(3.0, 3.822964500930099)	(4.0, 2.2531651663278094)	(5.0, 1.636478365834344)	(6.0, 1.3472265940997592)	(7.0, 1.1783997084641655)	(8.0, 1.092442755127418)	(9.0, 0.916148633665763)	('>10', 15.04646513747671)	('>50', 6.838596963223805)	('>100', 11.34242283993829)	('>500', 2.3561766987778623)	('>1k', 0.5327304033455994)	('>5k', 0.0)	('>10k+', 0.0)
26R_S25_R1	(1.0, 45.678447445481204)	(2.0, 12.531367723346069)	(3.0, 4.595139857351828)	(4.0, 2.3318275408866493)	(5.0, 1.551368436701758)	(6.0, 1.1608015839420291)	(7.0, 0.9567545264684257)	(8.0, 0.8417910187970761)	(9.0, 0.6937707817312886)	('>10', 10.923378038744659)	('>50', 4.361345107769364)	('>100', 9.47332014703953)	('>500', 2.817163364789961)	('>1k', 2.083524426950112)	('>5k', 0.0)	('>10k+', 0.0)
26R_S25_R2	(1.0, 47.84588862814339)	(2.0, 11.691534078896886)	(3.0, 4.104660606120655)	(4.0, 2.0718928117520408)	(5.0, 1.4479925288500244)	(6.0, 1.0645406217869553)	(7.0, 0.8778090106383767)	(8.0, 0.8264918791641788)	(9.0, 0.7412320106457717)	('>10', 11.148908674319408)	('>50', 4.773982890242423)	('>100', 8.772784908589818)	('>500', 2.383816130708661)	('>1k', 2.248465220141418)	('>5k', 0.0)	('>10k+', 0.0)
27R_S26_R1	(1.0, 51.382707894103554)	(2.0, 12.757709137077377)	(3.0, 4.545049908885771)	(4.0, 2.3209423247233874)	(5.0, 1.5500118316790652)	(6.0, 1.2227790824823348)	(7.0, 0.9618033693145018)	(8.0, 0.7693804497406266)	(9.0, 0.7388961593870027)	('>10', 10.533761753609983)	('>50', 4.0123168550335135)	('>100', 6.290754797905902)	('>500', 1.5295237655041543)	('>1k', 1.3843626705528265)	('>5k', 0.0)	('>10k+', 0.0)
27R_S26_R2	(1.0, 53.446599145524075)	(2.0, 12.604459119764558)	(3.0, 4.366036822003427)	(4.0, 2.174240096781508)	(5.0, 1.4682481050751963)	(6.0, 1.1510383112704017)	(7.0, 0.8993578034805916)	(8.0, 0.7716162843935886)	(9.0, 0.7275806561808439)	('>10', 10.61394995894244)	('>50', 3.9435874163506237)	('>100', 6.0177889028249325)	('>500', 0.8495234224146488)	('>1k', 0.9659739549931727)	('>5k', 0.0)	('>10k+', 0.0)
28R_S27_R1	(1.0, 20.667980278541513)	(2.0, 7.683571703594243)	(3.0, 3.8752679448027907)	(4.0, 2.4360203874521966)	(5.0, 1.7714293983754583)	(6.0, 1.466817914006074)	(7.0, 1.2467237417835673)	(8.0, 1.118805872303248)	(9.0, 1.0171040092858035)	('>10', 16.7127823158137)	('>50', 8.07712563460576)	('>100', 19.003976681848176)	('>500', 6.619268915966437)	('>1k', 7.379846800057586)	('>5k', 0.9232784015634351)	('>10k+', 0.0)
28R_S27_R2	(1.0, 22.050004435451484)	(2.0, 7.45699459823556)	(3.0, 3.76439413423051)	(4.0, 2.484444594592272)	(5.0, 1.816485965784858)	(6.0, 1.4535853927150992)	(7.0, 1.2862700103238647)	(8.0, 1.158515062086248)	(9.0, 1.0395590319730208)	('>10', 17.644610885939443)	('>50', 8.469497014462082)	('>100', 17.90931367056859)	('>500', 5.242483458474268)	('>1k', 7.698242859287342)	('>5k', 0.5255988858753714)	('>10k+', 0.0)
29R_S28_R1	(1.0, 55.35614821950582)	(2.0, 11.180303116265465)	(3.0, 3.690666743420227)	(4.0, 1.8114609931979928)	(5.0, 1.2357090360112752)	(6.0, 0.9856327329312112)	(7.0, 0.8297765793053777)	(8.0, 0.7248114605535825)	(9.0, 0.6801732898913847)	('>10', 9.66275608587177)	('>50', 4.147586585393689)	('>100', 7.463687170021973)	('>500', 1.2065541858977114)	('>1k', 1.0247338017325178)	('>5k', 0.0)	('>10k+', 0.0)
29R_S28_R2	(1.0, 57.52705562362765)	(2.0, 10.698379560995988)	(3.0, 3.2458722604386447)	(4.0, 1.6613833743578523)	(5.0, 1.2770000401421426)	(6.0, 1.0056809615324447)	(7.0, 0.8429507160302724)	(8.0, 0.776386918624943)	(9.0, 0.6707630089027047)	('>10', 10.828671129407377)	('>50', 4.762755953229898)	('>100', 6.281952633696199)	('>500', 0.4211478190138707)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
2R_S8_R1	(1.0, 9.949681134187973)	(2.0, 6.8176507121042995)	(3.0, 7.786046179736167)	(4.0, 7.456751991789232)	(5.0, 6.461466148230988)	(6.0, 5.397317765965943)	(7.0, 4.069374128045781)	(8.0, 3.177025943378245)	(9.0, 2.5811831081113343)	('>10', 19.305411120436368)	('>50', 6.340406171357177)	('>100', 12.589931509130484)	('>500', 3.3523110745795908)	('>1k', 4.71544301294645)	('>5k', 0.0)	('>10k+', 0.0)
2R_S8_R2	(1.0, 12.300114498902332)	(2.0, 6.846724885439656)	(3.0, 7.069784449537562)	(4.0, 6.496204183322382)	(5.0, 5.804919115031551)	(6.0, 4.864713955158938)	(7.0, 4.167892102292437)	(8.0, 3.3089512666274064)	(9.0, 2.7996191263685772)	('>10', 21.825333215205983)	('>50', 6.1267893819012285)	('>100', 10.880517825316812)	('>500', 3.350269869906475)	('>1k', 3.900635509801526)	('>5k', 0.2575306151870927)	('>10k+', 0.0)
30R_S29_R1	(1.0, 58.789704168117716)	(2.0, 14.97922417824248)	(3.0, 5.369309706964362)	(4.0, 2.4653352002733615)	(5.0, 1.6073762859008844)	(6.0, 1.0877126307531604)	(7.0, 0.7792952703323255)	(8.0, 0.678321705485646)	(9.0, 0.5904999346317821)	('>10', 6.062613281776959)	('>50', 1.9658495040902724)	('>100', 5.044377929228618)	('>500', 0.5145490715346249)	('>1k', 0.06583113266781755)	('>5k', 0.0)	('>10k+', 0.0)
30R_S29_R2	(1.0, 61.518545795288816)	(2.0, 14.701826700384506)	(3.0, 5.14234730172282)	(4.0, 2.286074359129127)	(5.0, 1.373657830759735)	(6.0, 0.8764586785610564)	(7.0, 0.6664967038596381)	(8.0, 0.5377368667907301)	(9.0, 0.4627681919326295)	('>10', 5.763175697439732)	('>50', 2.1450958644908895)	('>100', 3.718256050599579)	('>500', 0.7306093455860491)	('>1k', 0.0769506134546704)	('>5k', 0.0)	('>10k+', 0.0)
31R_S30_R1	(1.0, 27.208135377644034)	(2.0, 7.133610473896416)	(3.0, 2.732513526322674)	(4.0, 1.4882103389130006)	(5.0, 0.987361463726158)	(6.0, 0.7507411317029187)	(7.0, 0.6313880882134723)	(8.0, 0.5797305264839062)	(9.0, 0.46891982469011334)	('>10', 7.0695822552011105)	('>50', 3.3110570305672944)	('>100', 8.223463223220877)	('>500', 4.737397688211884)	('>1k', 14.264176036407484)	('>5k', 7.814449541588112)	('>10k+', 12.599263473210565)
31R_S30_R2	(1.0, 29.669363657163057)	(2.0, 7.053661593862118)	(3.0, 2.681187911202995)	(4.0, 1.4178396753551405)	(5.0, 0.9102978778471497)	(6.0, 0.6871645319617481)	(7.0, 0.5654103439763793)	(8.0, 0.4734354267515048)	(9.0, 0.43488564132828905)	('>10', 5.907322776773182)	('>50', 2.4630167447579243)	('>100', 7.396988950303142)	('>500', 5.78838169969726)	('>1k', 22.962861213959172)	('>5k', 8.070197838635906)	('>10k+', 3.5179841164250303)
32R_S31_R1	(1.0, 28.799258284525997)	(2.0, 7.377299580480032)	(3.0, 3.5589784394377135)	(4.0, 2.3027578772604396)	(5.0, 1.7922238322739914)	(6.0, 1.5094671531124826)	(7.0, 1.2816952680022893)	(8.0, 1.0864776208506628)	(9.0, 1.039455885732713)	('>10', 16.926022119830435)	('>50', 7.454232279341329)	('>100', 16.630565835845594)	('>500', 5.704091825265537)	('>1k', 4.0637144905681115)	('>5k', 0.4737595074726733)	('>10k+', 0.0)
32R_S31_R2	(1.0, 31.620118483195025)	(2.0, 7.279945281173905)	(3.0, 3.5030291783858942)	(4.0, 2.2998189823185275)	(5.0, 1.8390641448244391)	(6.0, 1.5271063802648357)	(7.0, 1.3081180685198748)	(8.0, 1.1712544183372298)	(9.0, 0.9917062485518251)	('>10', 17.955594510136212)	('>50', 8.19449450135922)	('>100', 14.281943290804175)	('>500', 3.8155120327427308)	('>1k', 4.212294479386104)	('>5k', 0.0)	('>10k+', 0.0)
3R_S2_R1	(1.0, 53.48073755666151)	(2.0, 11.88074063929665)	(3.0, 3.8265226318494383)	(4.0, 1.8773623306974327)	(5.0, 1.2848274167252909)	(6.0, 0.9167862649665947)	(7.0, 0.8257767089989497)	(8.0, 0.6520277022758225)	(9.0, 0.5506273471304118)	('>10', 8.13142395137842)	('>50', 3.332679616583492)	('>100', 7.1880760752123924)	('>500', 2.1353385184910936)	('>1k', 3.0081260466213)	('>5k', 0.4659833042418316)	('>10k+', 0.44296388886933624)
