Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
24R_S23_R1	(13.0, 4.0)	(14.0, 82.0)	(15.0, 362.0)	(16.0, 1219.0)	(17.0, 2747.0)	(18.0, 3105.0)	(19.0, 2989.0)	(20.0, 2947.0)	(21.0, 2862.0)	(22.0, 3214.0)	(23.0, 4934.0)	(24.0, 7607.0)	(25.0, 10361.0)	(26.0, 12567.0)	(27.0, 14989.0)	(28.0, 19196.0)	(29.0, 26088.0)	(30.0, 35853.0)	(31.0, 49108.0)	(32.0, 67334.0)	(33.0, 98801.0)	(34.0, 161108.0)	(35.0, 413595.0)	(36.0, 2203349.0)	(37.0, 49125.0)		
24R_S23_R2	(11.0, 30.0)	(12.0, 315.0)	(13.0, 521.0)	(14.0, 596.0)	(15.0, 776.0)	(16.0, 1257.0)	(17.0, 2297.0)	(18.0, 3916.0)	(19.0, 5409.0)	(20.0, 6476.0)	(21.0, 7416.0)	(22.0, 8236.0)	(23.0, 10615.0)	(24.0, 13677.0)	(25.0, 16218.0)	(26.0, 17239.0)	(27.0, 20283.0)	(28.0, 24502.0)	(29.0, 30991.0)	(30.0, 40021.0)	(31.0, 54626.0)	(32.0, 75641.0)	(33.0, 119212.0)	(34.0, 222549.0)	(35.0, 621817.0)	(36.0, 1846830.0)	(37.0, 42080.0)
25R_S24_R1	(14.0, 8.0)	(15.0, 53.0)	(16.0, 184.0)	(17.0, 405.0)	(18.0, 527.0)	(19.0, 616.0)	(20.0, 723.0)	(21.0, 988.0)	(22.0, 1850.0)	(23.0, 4598.0)	(24.0, 10072.0)	(25.0, 14668.0)	(26.0, 14714.0)	(27.0, 11781.0)	(28.0, 9404.0)	(29.0, 8861.0)	(30.0, 9416.0)	(31.0, 11411.0)	(32.0, 13691.0)	(33.0, 18442.0)	(34.0, 27616.0)	(35.0, 63067.0)	(36.0, 485921.0)	(37.0, 21340.0)			
25R_S24_R2	(11.0, 1.0)	(12.0, 18.0)	(13.0, 57.0)	(14.0, 114.0)	(15.0, 215.0)	(16.0, 288.0)	(17.0, 640.0)	(18.0, 1190.0)	(19.0, 2039.0)	(20.0, 3126.0)	(21.0, 4941.0)	(22.0, 8134.0)	(23.0, 13487.0)	(24.0, 17462.0)	(25.0, 17122.0)	(26.0, 13046.0)	(27.0, 10096.0)	(28.0, 9140.0)	(29.0, 9729.0)	(30.0, 11047.0)	(31.0, 14250.0)	(32.0, 18715.0)	(33.0, 29236.0)	(34.0, 55565.0)	(35.0, 151982.0)	(36.0, 334931.0)	(37.0, 3785.0)
26R_S25_R1	(13.0, 2.0)	(14.0, 11.0)	(15.0, 76.0)	(16.0, 307.0)	(17.0, 777.0)	(18.0, 1364.0)	(19.0, 3248.0)	(20.0, 7006.0)	(21.0, 10899.0)	(22.0, 11742.0)	(23.0, 10120.0)	(24.0, 9584.0)	(25.0, 10806.0)	(26.0, 11033.0)	(27.0, 10339.0)	(28.0, 9865.0)	(29.0, 11167.0)	(30.0, 13551.0)	(31.0, 17536.0)	(32.0, 22585.0)	(33.0, 30871.0)	(34.0, 46659.0)	(35.0, 104533.0)	(36.0, 848086.0)	(37.0, 41683.0)		
26R_S25_R2	(12.0, 36.0)	(13.0, 171.0)	(14.0, 258.0)	(15.0, 317.0)	(16.0, 462.0)	(17.0, 802.0)	(18.0, 1547.0)	(19.0, 2467.0)	(20.0, 3283.0)	(21.0, 4201.0)	(22.0, 5865.0)	(23.0, 8904.0)	(24.0, 12291.0)	(25.0, 13384.0)	(26.0, 11967.0)	(27.0, 11317.0)	(28.0, 11424.0)	(29.0, 12976.0)	(30.0, 15683.0)	(31.0, 19801.0)	(32.0, 26481.0)	(33.0, 39387.0)	(34.0, 70566.0)	(35.0, 205066.0)	(36.0, 742661.0)	(37.0, 12533.0)	
27R_S26_R1	(13.0, 3.0)	(14.0, 32.0)	(15.0, 166.0)	(16.0, 509.0)	(17.0, 997.0)	(18.0, 1301.0)	(19.0, 1872.0)	(20.0, 2959.0)	(21.0, 4336.0)	(22.0, 5392.0)	(23.0, 7418.0)	(24.0, 10606.0)	(25.0, 12494.0)	(26.0, 11878.0)	(27.0, 10188.0)	(28.0, 9791.0)	(29.0, 11377.0)	(30.0, 14336.0)	(31.0, 18858.0)	(32.0, 24953.0)	(33.0, 36529.0)	(34.0, 60574.0)	(35.0, 158287.0)	(36.0, 766700.0)	(37.0, 12840.0)		
27R_S26_R2	(11.0, 8.0)	(12.0, 114.0)	(13.0, 203.0)	(14.0, 258.0)	(15.0, 342.0)	(16.0, 596.0)	(17.0, 1219.0)	(18.0, 1978.0)	(19.0, 2746.0)	(20.0, 3708.0)	(21.0, 4970.0)	(22.0, 6586.0)	(23.0, 10154.0)	(24.0, 12901.0)	(25.0, 13276.0)	(26.0, 11138.0)	(27.0, 10130.0)	(28.0, 10275.0)	(29.0, 11685.0)	(30.0, 14450.0)	(31.0, 19090.0)	(32.0, 26461.0)	(33.0, 42622.0)	(34.0, 80948.0)	(35.0, 236074.0)	(36.0, 651136.0)	(37.0, 11328.0)
28R_S27_R1	(13.0, 7.0)	(14.0, 58.0)	(15.0, 398.0)	(16.0, 1645.0)	(17.0, 3581.0)	(18.0, 4243.0)	(19.0, 4204.0)	(20.0, 4108.0)	(21.0, 4038.0)	(22.0, 4669.0)	(23.0, 6953.0)	(24.0, 10364.0)	(25.0, 13604.0)	(26.0, 14625.0)	(27.0, 15678.0)	(28.0, 17763.0)	(29.0, 22475.0)	(30.0, 29016.0)	(31.0, 38820.0)	(32.0, 51749.0)	(33.0, 73103.0)	(34.0, 115795.0)	(35.0, 280778.0)	(36.0, 1744872.0)	(37.0, 47941.0)		
28R_S27_R2	(11.0, 17.0)	(12.0, 261.0)	(13.0, 494.0)	(14.0, 638.0)	(15.0, 871.0)	(16.0, 1723.0)	(17.0, 3370.0)	(18.0, 5583.0)	(19.0, 7326.0)	(20.0, 8116.0)	(21.0, 9109.0)	(22.0, 10100.0)	(23.0, 13595.0)	(24.0, 16944.0)	(25.0, 17878.0)	(26.0, 16712.0)	(27.0, 17322.0)	(28.0, 19011.0)	(29.0, 23337.0)	(30.0, 29738.0)	(31.0, 40824.0)	(32.0, 56273.0)	(33.0, 90451.0)	(34.0, 172126.0)	(35.0, 503632.0)	(36.0, 1420912.0)	(37.0, 24124.0)
