Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
25R_S24_R1	(1.0, 23.963798045192732)	(2.0, 5.960062475807399)	(3.0, 2.9506883636401167)	(4.0, 2.078947324809354)	(5.0, 1.5476331060206057)	(6.0, 1.301254854414382)	(7.0, 1.1432749565441374)	(8.0, 0.9517213607597124)	(9.0, 0.9091418328521974)	('>10', 15.248324324316012)	('>50', 6.9803047907769065)	('>100', 16.559781894900887)	('>500', 7.147506837651589)	('>1k', 9.74360030219278)	('>5k', 1.9826201160177364)	('>10k+', 1.5313394141034575)
25R_S24_R2	(1.0, 42.075128617756526)	(2.0, 5.128732301301241)	(3.0, 2.4728962119997937)	(4.0, 1.5853754543380365)	(5.0, 1.2248862444867852)	(6.0, 1.0297270694716254)	(7.0, 0.8534887812847135)	(8.0, 0.7462336859382763)	(9.0, 0.6802199724173874)	('>10', 12.331700576420287)	('>50', 6.41749166478495)	('>100', 14.581549258328854)	('>500', 5.219307134571438)	('>1k', 4.035385967630152)	('>5k', 0.33109502406462)	('>10k+', 1.2867820352052988)
26R_S25_R1	(1.0, 31.840310146730744)	(2.0, 8.862239888604893)	(3.0, 3.7983003825267327)	(4.0, 2.3073891402919164)	(5.0, 1.647725263121467)	(6.0, 1.30082150667472)	(7.0, 1.1341195842234555)	(8.0, 1.030950461092848)	(9.0, 0.9161882990299386)	('>10', 14.759312090694385)	('>50', 6.807986517202368)	('>100', 14.975469420027816)	('>500', 4.938589729764498)	('>1k', 5.35723729592136)	('>5k', 0.323360274092825)	('>10k+', 0.0)
26R_S25_R2	(1.0, 38.68837815841183)	(2.0, 8.038543275398)	(3.0, 3.2739933390413265)	(4.0, 1.8731435242115635)	(5.0, 1.432292653926295)	(6.0, 1.1750995988192454)	(7.0, 0.970028547215871)	(8.0, 0.8427698470930217)	(9.0, 0.7964864151273905)	('>10', 13.693463680090867)	('>50', 6.604295003199851)	('>100', 13.658710737188692)	('>500', 4.177760051517317)	('>1k', 4.205392135530514)	('>5k', 0.5696430332282272)	('>10k+', 0.0)
27R_S26_R1	(1.0, 32.18269818856451)	(2.0, 7.9626430808698)	(3.0, 3.361530339863971)	(4.0, 1.932800281631124)	(5.0, 1.41640381686682)	(6.0, 1.1306984778794504)	(7.0, 1.0192491277560096)	(8.0, 0.8246193707984179)	(9.0, 0.76172393037679)	('>10', 12.206443502731023)	('>50', 5.706811067831258)	('>100', 12.693591710631367)	('>500', 4.830666040196739)	('>1k', 8.081041442749406)	('>5k', 4.079632181683)	('>10k+', 1.8094474395703435)
27R_S26_R2	(1.0, 38.32584974661304)	(2.0, 7.612386139157122)	(3.0, 3.042252018615836)	(4.0, 1.7372728857292308)	(5.0, 1.2733872119981997)	(6.0, 1.0140899583821188)	(7.0, 0.8388611711316807)	(8.0, 0.7456963666736146)	(9.0, 0.664904452957381)	('>10', 11.054229115766653)	('>50', 5.06957913078219)	('>100', 11.47293433447745)	('>500', 3.2884318804176123)	('>1k', 7.34360146770407)	('>5k', 2.5795196630718205)	('>10k+', 3.937004456521959)
28R_S27_R1	(1.0, 14.487737978150141)	(2.0, 5.02864696441563)	(3.0, 2.7537332723737857)	(4.0, 1.8254561548260975)	(5.0, 1.3939297534975543)	(6.0, 1.1338467548903073)	(7.0, 1.0376484289908388)	(8.0, 0.853298234625942)	(9.0, 0.813294363167256)	('>10', 13.532495822321986)	('>50', 6.61439084661386)	('>100', 15.584315154719489)	('>500', 6.210525675867659)	('>1k', 9.738118936884565)	('>5k', 2.7702498365923067)	('>10k+', 16.222311822062583)
28R_S27_R2	(1.0, 18.355703904761217)	(2.0, 4.5761107367405405)	(3.0, 2.474767003501246)	(4.0, 1.7047124843311252)	(5.0, 1.2821629593482902)	(6.0, 1.0925144324175617)	(7.0, 0.9105376483988051)	(8.0, 0.8354431529749793)	(9.0, 0.7673606773070013)	('>10', 13.089174653878164)	('>50', 6.569601529379468)	('>100', 14.467640396035076)	('>500', 5.006839352559392)	('>1k', 8.976488509471137)	('>5k', 2.680191227174557)	('>10k+', 17.210751331721404)
29R_S28_R1	(1.0, 38.0298511160523)	(2.0, 7.9041982883982)	(3.0, 3.150356559838379)	(4.0, 1.889040590123479)	(5.0, 1.4198731889797116)	(6.0, 1.1411069335530155)	(7.0, 1.0135866374642777)	(8.0, 0.8774495180216825)	(9.0, 0.7625022998477506)	('>10', 13.272018819143804)	('>50', 6.499847840609299)	('>100', 13.721760690192653)	('>500', 4.1380984053272165)	('>1k', 5.868021679745778)	('>5k', 0.31228743270245035)	('>10k+', 0.0)
29R_S28_R2	(1.0, 43.448225755051645)	(2.0, 7.322953144926052)	(3.0, 2.7589680552916644)	(4.0, 1.58880205603074)	(5.0, 1.2474787268834708)	(6.0, 1.0408473779651857)	(7.0, 0.9723931644605885)	(8.0, 0.8636674607923087)	(9.0, 0.7508158844215214)	('>10', 13.294777098004765)	('>50', 6.111311968679428)	('>100', 12.380026034364388)	('>500', 3.1932879604121154)	('>1k', 3.2504778946092676)	('>5k', 1.2069275728452749)	('>10k+', 0.5690398452616595)
