Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
25R_S24_R2	(25, 163.0)	(30, 264.0)	(35, 253.0)	(40, 384.0)	(45, 411.0)	(50, 500.0)	(55, 505.0)	(60, 662.0)	(65, 743.0)	(70, 664.0)	(75, 743.0)	(80, 807.0)	(85, 888.0)	(90, 1078.0)	(95, 1405.0)	(100, 1551.0)	(105, 2043.0)	(110, 2386.0)	(115, 2495.0)	(120, 2228.0)	(125, 2458.0)	(130, 2452.0)	(135, 4699.0)	(140, 19003.0)	(145, 239606.0)	(150, 1926072.0)
26R_S25_R1	(25, 352.0)	(30, 920.0)	(35, 3036.0)	(40, 1155.0)	(45, 1347.0)	(50, 1614.0)	(55, 1359.0)	(60, 1284.0)	(65, 1316.0)	(70, 1627.0)	(75, 1807.0)	(80, 2547.0)	(85, 2944.0)	(90, 2890.0)	(95, 4128.0)	(100, 4218.0)	(105, 5217.0)	(110, 5453.0)	(115, 6307.0)	(120, 6143.0)	(125, 6723.0)	(130, 6963.0)	(135, 6167.0)	(140, 15064.0)	(145, 105128.0)	(150, 2453585.0)
26R_S25_R2	(25, 121.0)	(30, 339.0)	(35, 364.0)	(40, 456.0)	(45, 590.0)	(50, 798.0)	(55, 848.0)	(60, 960.0)	(65, 1090.0)	(70, 1292.0)	(75, 1606.0)	(80, 2577.0)	(85, 2497.0)	(90, 3488.0)	(95, 3519.0)	(100, 3268.0)	(105, 4850.0)	(110, 4989.0)	(115, 8081.0)	(120, 9412.0)	(125, 10224.0)	(130, 6552.0)	(135, 3977.0)	(140, 12536.0)	(145, 151908.0)	(150, 2412952.0)
27R_S26_R1	(25, 396.0)	(30, 893.0)	(35, 4012.0)	(40, 1327.0)	(45, 1655.0)	(50, 1624.0)	(55, 1292.0)	(60, 1151.0)	(65, 1115.0)	(70, 1070.0)	(75, 1162.0)	(80, 1166.0)	(85, 1628.0)	(90, 1709.0)	(95, 2607.0)	(100, 2906.0)	(105, 3481.0)	(110, 4125.0)	(115, 4732.0)	(120, 3944.0)	(125, 4353.0)	(130, 2879.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 2584774.0)
27R_S26_R2	(25, 118.0)	(30, 245.0)	(35, 202.0)	(40, 328.0)	(45, 428.0)	(50, 488.0)	(55, 474.0)	(60, 552.0)	(65, 683.0)	(70, 676.0)	(75, 823.0)	(80, 914.0)	(85, 1056.0)	(90, 1502.0)	(95, 2327.0)	(100, 2887.0)	(105, 3654.0)	(110, 3937.0)	(115, 4833.0)	(120, 4533.0)	(125, 4570.0)	(130, 3677.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 2595094.0)
28R_S27_R1	(25, 1345.0)	(30, 3119.0)	(35, 5670.0)	(40, 3242.0)	(45, 3246.0)	(50, 3593.0)	(55, 2177.0)	(60, 1800.0)	(65, 1614.0)	(70, 1594.0)	(75, 1677.0)	(80, 1632.0)	(85, 1812.0)	(90, 2214.0)	(95, 3058.0)	(100, 4108.0)	(105, 5168.0)	(110, 6558.0)	(115, 6320.0)	(120, 5991.0)	(125, 6007.0)	(130, 3970.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 5265573.0)
28R_S27_R2	(25, 337.0)	(30, 549.0)	(35, 585.0)	(40, 638.0)	(45, 851.0)	(50, 1050.0)	(55, 868.0)	(60, 940.0)	(65, 932.0)	(70, 1010.0)	(75, 923.0)	(80, 719.0)	(85, 745.0)	(90, 778.0)	(95, 1049.0)	(100, 1422.0)	(105, 1848.0)	(110, 2288.0)	(115, 2566.0)	(120, 2316.0)	(125, 2007.0)	(130, 1701.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 5315366.0)
29R_S28_R1	(25, 850.0)	(30, 1908.0)	(35, 2529.0)	(40, 2514.0)	(45, 2933.0)	(50, 3200.0)	(55, 2194.0)	(60, 1681.0)	(65, 1561.0)	(70, 1380.0)	(75, 1173.0)	(80, 1385.0)	(85, 1863.0)	(90, 1871.0)	(95, 2430.0)	(100, 3045.0)	(105, 3574.0)	(110, 4617.0)	(115, 4617.0)	(120, 4137.0)	(125, 3848.0)	(130, 2470.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 1805425.0)
29R_S28_R2	(25, 232.0)	(30, 456.0)	(35, 464.0)	(40, 529.0)	(45, 682.0)	(50, 835.0)	(55, 777.0)	(60, 836.0)	(65, 923.0)	(70, 858.0)	(75, 719.0)	(80, 712.0)	(85, 840.0)	(90, 797.0)	(95, 1019.0)	(100, 1295.0)	(105, 1487.0)	(110, 1803.0)	(115, 1671.0)	(120, 1529.0)	(125, 1185.0)	(130, 880.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 1840676.0)
2R_S8_R1	(25, 1002.0)	(30, 2730.0)	(35, 4362.0)	(40, 2523.0)	(45, 3229.0)	(50, 3866.0)	(55, 2687.0)	(60, 2568.0)	(65, 3719.0)	(70, 2336.0)	(75, 2289.0)	(80, 2368.0)	(85, 2131.0)	(90, 2396.0)	(95, 2993.0)	(100, 4081.0)	(105, 5220.0)	(110, 6325.0)	(115, 6602.0)	(120, 6725.0)	(125, 6948.0)	(130, 4861.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 3929841.0)
2R_S8_R2	(25, 181.0)	(30, 225.0)	(35, 292.0)	(40, 403.0)	(45, 576.0)	(50, 893.0)	(55, 945.0)	(60, 943.0)	(65, 1398.0)	(70, 1322.0)	(75, 1364.0)	(80, 1276.0)	(85, 1352.0)	(90, 1598.0)	(95, 2856.0)	(100, 3286.0)	(105, 3643.0)	(110, 4414.0)	(115, 6247.0)	(120, 5862.0)	(125, 5159.0)	(130, 4882.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 3962685.0)
30R_S29_R1	(25, 1039.0)	(30, 2668.0)	(35, 3051.0)	(40, 2827.0)	(45, 2873.0)	(50, 2988.0)	(55, 2054.0)	(60, 1882.0)	(65, 1821.0)	(70, 1633.0)	(75, 1491.0)	(80, 1846.0)	(85, 2809.0)	(90, 2639.0)	(95, 3635.0)	(100, 4452.0)	(105, 5021.0)	(110, 5849.0)	(115, 6127.0)	(120, 5518.0)	(125, 5699.0)	(130, 3614.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 2264414.0)
30R_S29_R2	(25, 307.0)	(30, 539.0)	(35, 534.0)	(40, 635.0)	(45, 751.0)	(50, 951.0)	(55, 826.0)	(60, 922.0)	(65, 952.0)	(70, 911.0)	(75, 742.0)	(80, 692.0)	(85, 905.0)	(90, 857.0)	(95, 1138.0)	(100, 1314.0)	(105, 1579.0)	(110, 2057.0)	(115, 1963.0)	(120, 1666.0)	(125, 1451.0)	(130, 1069.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 2313189.0)
31R_S30_R1	(25, 602.0)	(30, 1442.0)	(35, 2475.0)	(40, 1764.0)	(45, 1899.0)	(50, 2150.0)	(55, 1565.0)	(60, 1459.0)	(65, 1442.0)	(70, 1523.0)	(75, 1637.0)	(80, 2017.0)	(85, 2999.0)	(90, 3033.0)	(95, 4359.0)	(100, 5225.0)	(105, 6093.0)	(110, 7195.0)	(115, 8077.0)	(120, 7345.0)	(125, 8433.0)	(130, 6263.0)	(135, 5985.0)	(140, 19436.0)	(145, 150641.0)	(150, 4028001.0)
31R_S30_R2	(25, 211.0)	(30, 418.0)	(35, 532.0)	(40, 675.0)	(45, 897.0)	(50, 1241.0)	(55, 1187.0)	(60, 1249.0)	(65, 1386.0)	(70, 1456.0)	(75, 1802.0)	(80, 1858.0)	(85, 2437.0)	(90, 2665.0)	(95, 3991.0)	(100, 4367.0)	(105, 5289.0)	(110, 5661.0)	(115, 5459.0)	(120, 5046.0)	(125, 4983.0)	(130, 5134.0)	(135, 6663.0)	(140, 15731.0)	(145, 188242.0)	(150, 4014480.0)
32R_S31_R1	(25, 556.0)	(30, 1317.0)	(35, 2312.0)	(40, 2027.0)	(45, 2528.0)	(50, 2467.0)	(55, 1765.0)	(60, 1512.0)	(65, 1292.0)	(70, 1196.0)	(75, 1180.0)	(80, 1421.0)	(85, 1929.0)	(90, 1810.0)	(95, 2693.0)	(100, 3153.0)	(105, 3830.0)	(110, 4701.0)	(115, 5186.0)	(120, 4452.0)	(125, 4356.0)	(130, 3063.0)	(135, 0.0)	(140, 1.0)	(145, 0.0)	(150, 2776718.0)
32R_S31_R2	(25, 193.0)	(30, 352.0)	(35, 358.0)	(40, 515.0)	(45, 686.0)	(50, 837.0)	(55, 785.0)	(60, 767.0)	(65, 857.0)	(70, 769.0)	(75, 710.0)	(80, 597.0)	(85, 644.0)	(90, 615.0)	(95, 785.0)	(100, 981.0)	(105, 1297.0)	(110, 1615.0)	(115, 1760.0)	(120, 1529.0)	(125, 1289.0)	(130, 1094.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 2812430.0)
3R_S2_R1	(25, 1212.0)	(30, 2162.0)	(35, 3949.0)	(40, 3381.0)	(45, 3266.0)	(50, 3967.0)	(55, 3075.0)	(60, 3463.0)	(65, 4001.0)	(70, 4217.0)	(75, 4002.0)	(80, 4165.0)	(85, 3963.0)	(90, 4121.0)	(95, 5343.0)	(100, 7458.0)	(105, 9690.0)	(110, 11157.0)	(115, 11239.0)	(120, 10778.0)	(125, 10241.0)	(130, 7021.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 6612499.0)
3R_S2_R2	(25, 247.0)	(30, 513.0)	(35, 641.0)	(40, 1010.0)	(45, 1230.0)	(50, 1754.0)	(55, 1805.0)	(60, 2305.0)	(65, 2891.0)	(70, 3268.0)	(75, 3094.0)	(80, 2731.0)	(85, 1960.0)	(90, 1726.0)	(95, 3965.0)	(100, 7586.0)	(105, 10431.0)	(110, 10667.0)	(115, 12254.0)	(120, 12710.0)	(125, 12746.0)	(130, 10705.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 6628131.0)
