Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
24R_S23_R2	(25, 325.0)	(30, 579.0)	(35, 549.0)	(40, 762.0)	(45, 869.0)	(50, 1203.0)	(55, 1190.0)	(60, 1584.0)	(65, 1809.0)	(70, 2080.0)	(75, 2028.0)	(80, 1574.0)	(85, 998.0)	(90, 784.0)	(95, 916.0)	(100, 1375.0)	(105, 2062.0)	(110, 1826.0)	(115, 2133.0)	(120, 1858.0)	(125, 2218.0)	(130, 1350.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 29919857.0)
25R_S24_R1	(25, 282.0)	(30, 643.0)	(35, 1924.0)	(40, 886.0)	(45, 986.0)	(50, 1164.0)	(55, 1085.0)	(60, 1479.0)	(65, 1840.0)	(70, 2031.0)	(75, 2288.0)	(80, 2300.0)	(85, 2679.0)	(90, 2593.0)	(95, 4043.0)	(100, 4543.0)	(105, 5746.0)	(110, 6609.0)	(115, 8349.0)	(120, 7157.0)	(125, 8009.0)	(130, 5715.0)	(135, 1516.0)	(140, 9203.0)	(145, 474130.0)	(150, 33787997.0)
25R_S24_R2	(25, 175.0)	(30, 291.0)	(35, 315.0)	(40, 489.0)	(45, 566.0)	(50, 751.0)	(55, 876.0)	(60, 1260.0)	(65, 1700.0)	(70, 1660.0)	(75, 1833.0)	(80, 1561.0)	(85, 1296.0)	(90, 1302.0)	(95, 1624.0)	(100, 1768.0)	(105, 2404.0)	(110, 2796.0)	(115, 2959.0)	(120, 2690.0)	(125, 2972.0)	(130, 3011.0)	(135, 6072.0)	(140, 33523.0)	(145, 1110430.0)	(150, 33160873.0)
26R_S25_R1	(25, 367.0)	(30, 961.0)	(35, 3104.0)	(40, 1333.0)	(45, 1623.0)	(50, 2059.0)	(55, 2057.0)	(60, 2312.0)	(65, 2756.0)	(70, 3478.0)	(75, 3825.0)	(80, 3898.0)	(85, 3630.0)	(90, 3257.0)	(95, 4449.0)	(100, 4563.0)	(105, 5637.0)	(110, 5979.0)	(115, 6879.0)	(120, 6706.0)	(125, 7381.0)	(130, 7681.0)	(135, 7276.0)	(140, 21671.0)	(145, 433530.0)	(150, 25918921.0)
26R_S25_R2	(25, 141.0)	(30, 378.0)	(35, 449.0)	(40, 646.0)	(45, 863.0)	(50, 1232.0)	(55, 1529.0)	(60, 2034.0)	(65, 2562.0)	(70, 3228.0)	(75, 3605.0)	(80, 3801.0)	(85, 3159.0)	(90, 3971.0)	(95, 3949.0)	(100, 3752.0)	(105, 5371.0)	(110, 5551.0)	(115, 8670.0)	(120, 10115.0)	(125, 10874.0)	(130, 7181.0)	(135, 4814.0)	(140, 20096.0)	(145, 642278.0)	(150, 25715084.0)
27R_S26_R1	(25, 408.0)	(30, 931.0)	(35, 4073.0)	(40, 1426.0)	(45, 1806.0)	(50, 1881.0)	(55, 1615.0)	(60, 1638.0)	(65, 1880.0)	(70, 2111.0)	(75, 2256.0)	(80, 1938.0)	(85, 2028.0)	(90, 1927.0)	(95, 2787.0)	(100, 3136.0)	(105, 3802.0)	(110, 4567.0)	(115, 5169.0)	(120, 4349.0)	(125, 4793.0)	(130, 3216.0)	(135, 1.0)	(140, 2.0)	(145, 0.0)	(150, 35384033.0)
27R_S26_R2	(25, 134.0)	(30, 289.0)	(35, 264.0)	(40, 442.0)	(45, 604.0)	(50, 705.0)	(55, 755.0)	(60, 1063.0)	(65, 1487.0)	(70, 1705.0)	(75, 1992.0)	(80, 1686.0)	(85, 1518.0)	(90, 1821.0)	(95, 2739.0)	(100, 3382.0)	(105, 4373.0)	(110, 4905.0)	(115, 6123.0)	(120, 5723.0)	(125, 5485.0)	(130, 4640.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 35389938.0)
28R_S27_R1	(25, 1392.0)	(30, 3213.0)	(35, 5797.0)	(40, 3391.0)	(45, 3416.0)	(50, 3932.0)	(55, 2654.0)	(60, 2515.0)	(65, 2600.0)	(70, 2803.0)	(75, 2868.0)	(80, 2605.0)	(85, 2292.0)	(90, 2451.0)	(95, 3274.0)	(100, 4449.0)	(105, 5576.0)	(110, 7057.0)	(115, 6845.0)	(120, 6509.0)	(125, 6632.0)	(130, 4461.0)	(135, 1.0)	(140, 2.0)	(145, 0.0)	(150, 32751013.0)
28R_S27_R2	(25, 391.0)	(30, 645.0)	(35, 715.0)	(40, 780.0)	(45, 1031.0)	(50, 1343.0)	(55, 1331.0)	(60, 1667.0)	(65, 1926.0)	(70, 2235.0)	(75, 2107.0)	(80, 1640.0)	(85, 1192.0)	(90, 1057.0)	(95, 1383.0)	(100, 1916.0)	(105, 2436.0)	(110, 3018.0)	(115, 3379.0)	(120, 3203.0)	(125, 2651.0)	(130, 2293.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 32799409.0)
29R_S28_R1	(25, 885.0)	(30, 1990.0)	(35, 2645.0)	(40, 2702.0)	(45, 3169.0)	(50, 3631.0)	(55, 2703.0)	(60, 2408.0)	(65, 2699.0)	(70, 2825.0)	(75, 2604.0)	(80, 2407.0)	(85, 2341.0)	(90, 2108.0)	(95, 2651.0)	(100, 3300.0)	(105, 3880.0)	(110, 5088.0)	(115, 5113.0)	(120, 4564.0)	(125, 4288.0)	(130, 2784.0)	(135, 0.0)	(140, 1.0)	(145, 0.0)	(150, 27461228.0)
29R_S28_R2	(25, 268.0)	(30, 533.0)	(35, 599.0)	(40, 705.0)	(45, 920.0)	(50, 1183.0)	(55, 1265.0)	(60, 1606.0)	(65, 2072.0)	(70, 2332.0)	(75, 2165.0)	(80, 1596.0)	(85, 1269.0)	(90, 1024.0)	(95, 1270.0)	(100, 1598.0)	(105, 2005.0)	(110, 2425.0)	(115, 2335.0)	(120, 2214.0)	(125, 1878.0)	(130, 1661.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 27495091.0)
2R_S8_R1	(25, 1032.0)	(30, 2780.0)	(35, 4471.0)	(40, 2646.0)	(45, 3469.0)	(50, 4523.0)	(55, 3258.0)	(60, 3372.0)	(65, 5077.0)	(70, 3689.0)	(75, 3911.0)	(80, 3596.0)	(85, 2814.0)	(90, 2789.0)	(95, 3283.0)	(100, 4502.0)	(105, 5787.0)	(110, 6968.0)	(115, 7292.0)	(120, 7374.0)	(125, 7772.0)	(130, 5596.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 24801796.0)
2R_S8_R2	(25, 215.0)	(30, 266.0)	(35, 409.0)	(40, 543.0)	(45, 791.0)	(50, 1262.0)	(55, 1399.0)	(60, 1670.0)	(65, 2675.0)	(70, 2811.0)	(75, 2937.0)	(80, 2534.0)	(85, 2147.0)	(90, 2398.0)	(95, 3693.0)	(100, 4434.0)	(105, 5364.0)	(110, 6592.0)	(115, 9580.0)	(120, 9959.0)	(125, 6778.0)	(130, 6725.0)	(135, 0.0)	(140, 0.0)	(145, 1.0)	(150, 24822614.0)
30R_S29_R1	(25, 1090.0)	(30, 2741.0)	(35, 3208.0)	(40, 3057.0)	(45, 3119.0)	(50, 3431.0)	(55, 2612.0)	(60, 2766.0)	(65, 3079.0)	(70, 3256.0)	(75, 2998.0)	(80, 2806.0)	(85, 3376.0)	(90, 2916.0)	(95, 3865.0)	(100, 4765.0)	(105, 5413.0)	(110, 6377.0)	(115, 6694.0)	(120, 6039.0)	(125, 6261.0)	(130, 4041.0)	(135, 0.0)	(140, 2.0)	(145, 0.0)	(150, 24578699.0)
30R_S29_R2	(25, 364.0)	(30, 622.0)	(35, 674.0)	(40, 870.0)	(45, 989.0)	(50, 1382.0)	(55, 1378.0)	(60, 1827.0)	(65, 2275.0)	(70, 2499.0)	(75, 2256.0)	(80, 1541.0)	(85, 1411.0)	(90, 1082.0)	(95, 1334.0)	(100, 1562.0)	(105, 1881.0)	(110, 2518.0)	(115, 2450.0)	(120, 2099.0)	(125, 1855.0)	(130, 1349.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 24628393.0)
31R_S30_R1	(25, 621.0)	(30, 1488.0)	(35, 2542.0)	(40, 1893.0)	(45, 2076.0)	(50, 2416.0)	(55, 1942.0)	(60, 2099.0)	(65, 2349.0)	(70, 2658.0)	(75, 2869.0)	(80, 2904.0)	(85, 3461.0)	(90, 3290.0)	(95, 4623.0)	(100, 5538.0)	(105, 6595.0)	(110, 7757.0)	(115, 8816.0)	(120, 8174.0)	(125, 9625.0)	(130, 8190.0)	(135, 12396.0)	(140, 40812.0)	(145, 574788.0)	(150, 27476203.0)
31R_S30_R2	(25, 242.0)	(30, 472.0)	(35, 610.0)	(40, 802.0)	(45, 1067.0)	(50, 1476.0)	(55, 1560.0)	(60, 1848.0)	(65, 2331.0)	(70, 2628.0)	(75, 3044.0)	(80, 2706.0)	(85, 2978.0)	(90, 3079.0)	(95, 4588.0)	(100, 5309.0)	(105, 7478.0)	(110, 7994.0)	(115, 8243.0)	(120, 8141.0)	(125, 8732.0)	(130, 9622.0)	(135, 7273.0)	(140, 21102.0)	(145, 624031.0)	(150, 27458769.0)
32R_S31_R1	(25, 577.0)	(30, 1366.0)	(35, 2397.0)	(40, 2155.0)	(45, 2679.0)	(50, 2732.0)	(55, 2106.0)	(60, 2076.0)	(65, 2049.0)	(70, 2253.0)	(75, 2280.0)	(80, 2239.0)	(85, 2402.0)	(90, 2036.0)	(95, 2875.0)	(100, 3417.0)	(105, 4167.0)	(110, 5093.0)	(115, 5618.0)	(120, 4848.0)	(125, 4856.0)	(130, 3405.0)	(135, 1.0)	(140, 2.0)	(145, 0.0)	(150, 26842170.0)
