Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
24R_S23_R1	(13.0, 21.0)	(14.0, 217.0)	(15.0, 592.0)	(16.0, 1552.0)	(17.0, 3304.0)	(18.0, 3809.0)	(19.0, 4120.0)	(20.0, 4881.0)	(21.0, 5721.0)	(22.0, 7312.0)	(23.0, 11444.0)	(24.0, 19239.0)	(25.0, 32157.0)	(26.0, 51857.0)	(27.0, 85893.0)	(28.0, 134884.0)	(29.0, 210409.0)	(30.0, 311205.0)	(31.0, 460707.0)	(32.0, 651905.0)	(33.0, 971854.0)	(34.0, 1566199.0)	(35.0, 3933545.0)	(36.0, 21026731.0)	(37.0, 450371.0)		
24R_S23_R2	(11.0, 181.0)	(12.0, 2151.0)	(13.0, 3950.0)	(14.0, 3774.0)	(15.0, 3525.0)	(16.0, 3769.0)	(17.0, 5104.0)	(18.0, 8466.0)	(19.0, 14151.0)	(20.0, 18099.0)	(21.0, 20615.0)	(22.0, 24287.0)	(23.0, 34272.0)	(24.0, 49841.0)	(25.0, 73145.0)	(26.0, 100887.0)	(27.0, 143865.0)	(28.0, 196701.0)	(29.0, 274438.0)	(30.0, 373529.0)	(31.0, 526119.0)	(32.0, 746335.0)	(33.0, 1186361.0)	(34.0, 2174723.0)	(35.0, 5935757.0)	(36.0, 17604494.0)	(37.0, 421390.0)
25R_S24_R1	(14.0, 13.0)	(15.0, 74.0)	(16.0, 245.0)	(17.0, 526.0)	(18.0, 673.0)	(19.0, 873.0)	(20.0, 1196.0)	(21.0, 1887.0)	(22.0, 3768.0)	(23.0, 9130.0)	(24.0, 20382.0)	(25.0, 36329.0)	(26.0, 56608.0)	(27.0, 88981.0)	(28.0, 137222.0)	(29.0, 210811.0)	(30.0, 304919.0)	(31.0, 432229.0)	(32.0, 589653.0)	(33.0, 836700.0)	(34.0, 1278773.0)	(35.0, 2859940.0)	(36.0, 26160576.0)	(37.0, 1313689.0)			
25R_S24_R2	(11.0, 8.0)	(12.0, 377.0)	(13.0, 1552.0)	(14.0, 2535.0)	(15.0, 2903.0)	(16.0, 2908.0)	(17.0, 4014.0)	(18.0, 9319.0)	(19.0, 17719.0)	(20.0, 23866.0)	(21.0, 32256.0)	(22.0, 47663.0)	(23.0, 82021.0)	(24.0, 129242.0)	(25.0, 180956.0)	(26.0, 225675.0)	(27.0, 283524.0)	(28.0, 353094.0)	(29.0, 448391.0)	(30.0, 569762.0)	(31.0, 752248.0)	(32.0, 1026676.0)	(33.0, 1590194.0)	(34.0, 2919858.0)	(35.0, 7658914.0)	(36.0, 17759512.0)	(37.0, 220010.0)
26R_S25_R1	(13.0, 4.0)	(14.0, 15.0)	(15.0, 100.0)	(16.0, 363.0)	(17.0, 978.0)	(18.0, 1952.0)	(19.0, 5024.0)	(20.0, 11574.0)	(21.0, 19940.0)	(22.0, 24297.0)	(23.0, 24458.0)	(24.0, 26405.0)	(25.0, 34816.0)	(26.0, 49635.0)	(27.0, 76606.0)	(28.0, 117895.0)	(29.0, 179963.0)	(30.0, 256954.0)	(31.0, 361209.0)	(32.0, 490355.0)	(33.0, 689600.0)	(34.0, 1056613.0)	(35.0, 2415946.0)	(36.0, 19713740.0)	(37.0, 906891.0)		
26R_S25_R2	(11.0, 7.0)	(12.0, 474.0)	(13.0, 2178.0)	(14.0, 3143.0)	(15.0, 3227.0)	(16.0, 3152.0)	(17.0, 3708.0)	(18.0, 6941.0)	(19.0, 12771.0)	(20.0, 15906.0)	(21.0, 17909.0)	(22.0, 23257.0)	(23.0, 36326.0)	(24.0, 57663.0)	(25.0, 83215.0)	(26.0, 110330.0)	(27.0, 147613.0)	(28.0, 193962.0)	(29.0, 259105.0)	(30.0, 340580.0)	(31.0, 463686.0)	(32.0, 641116.0)	(33.0, 986244.0)	(34.0, 1770416.0)	(35.0, 4885009.0)	(36.0, 16131458.0)	(37.0, 265937.0)
27R_S26_R1	(13.0, 4.0)	(14.0, 66.0)	(15.0, 247.0)	(16.0, 752.0)	(17.0, 1617.0)	(18.0, 2188.0)	(19.0, 3922.0)	(20.0, 8542.0)	(21.0, 18361.0)	(22.0, 28840.0)	(23.0, 37436.0)	(24.0, 45618.0)	(25.0, 54821.0)	(26.0, 69687.0)	(27.0, 102974.0)	(28.0, 157471.0)	(29.0, 242675.0)	(30.0, 350148.0)	(31.0, 506035.0)	(32.0, 698986.0)	(33.0, 1035980.0)	(34.0, 1690503.0)	(35.0, 4335922.0)	(36.0, 25556221.0)	(37.0, 492757.0)		
27R_S26_R2	(11.0, 101.0)	(12.0, 1535.0)	(13.0, 3446.0)	(14.0, 3702.0)	(15.0, 3450.0)	(16.0, 3212.0)	(17.0, 4043.0)	(18.0, 7206.0)	(19.0, 12065.0)	(20.0, 16258.0)	(21.0, 19528.0)	(22.0, 25050.0)	(23.0, 38532.0)	(24.0, 57735.0)	(25.0, 81674.0)	(26.0, 107838.0)	(27.0, 147109.0)	(28.0, 197191.0)	(29.0, 272220.0)	(30.0, 372843.0)	(31.0, 526523.0)	(32.0, 754390.0)	(33.0, 1216169.0)	(34.0, 2289316.0)	(35.0, 6726100.0)	(36.0, 22127049.0)	(37.0, 427488.0)
28R_S27_R1	(13.0, 11.0)	(14.0, 152.0)	(15.0, 531.0)	(16.0, 1898.0)	(17.0, 4044.0)	(18.0, 4737.0)	(19.0, 4938.0)	(20.0, 5442.0)	(21.0, 6670.0)	(22.0, 9313.0)	(23.0, 15232.0)	(24.0, 24786.0)	(25.0, 40777.0)	(26.0, 63462.0)	(27.0, 101913.0)	(28.0, 155704.0)	(29.0, 232435.0)	(30.0, 329341.0)	(31.0, 461849.0)	(32.0, 615396.0)	(33.0, 882555.0)	(34.0, 1388978.0)	(35.0, 3360502.0)	(36.0, 24382531.0)	(37.0, 744551.0)		
28R_S27_R2	(11.0, 200.0)	(12.0, 2404.0)	(13.0, 4630.0)	(14.0, 4783.0)	(15.0, 4593.0)	(16.0, 4952.0)	(17.0, 6735.0)	(18.0, 11345.0)	(19.0, 18900.0)	(20.0, 23194.0)	(21.0, 24914.0)	(22.0, 30474.0)	(23.0, 47550.0)	(24.0, 71832.0)	(25.0, 99943.0)	(26.0, 128442.0)	(27.0, 171215.0)	(28.0, 222937.0)	(29.0, 296907.0)	(30.0, 393529.0)	(31.0, 543303.0)	(32.0, 756534.0)	(33.0, 1203847.0)	(34.0, 2253144.0)	(35.0, 6460740.0)	(36.0, 19665274.0)	(37.0, 385427.0)
29R_S28_R1	(13.0, 7.0)	(14.0, 85.0)	(15.0, 346.0)	(16.0, 989.0)	(17.0, 2003.0)	(18.0, 2177.0)	(19.0, 2377.0)	(20.0, 2723.0)	(21.0, 3702.0)	(22.0, 6400.0)	(23.0, 13651.0)	(24.0, 24151.0)	(25.0, 37998.0)	(26.0, 53540.0)	(27.0, 80822.0)	(28.0, 124510.0)	(29.0, 191578.0)	(30.0, 280904.0)	(31.0, 406943.0)	(32.0, 562735.0)	(33.0, 836816.0)	(34.0, 1384121.0)	(35.0, 3707403.0)	(36.0, 19511277.0)	(37.0, 290756.0)		
29R_S28_R2	(11.0, 143.0)	(12.0, 2010.0)	(13.0, 3864.0)	(14.0, 4003.0)	(15.0, 3573.0)	(16.0, 3395.0)	(17.0, 4139.0)	(18.0, 6393.0)	(19.0, 9899.0)	(20.0, 12364.0)	(21.0, 15033.0)	(22.0, 18687.0)	(23.0, 27852.0)	(24.0, 41300.0)	(25.0, 56919.0)	(26.0, 73539.0)	(27.0, 99482.0)	(28.0, 134264.0)	(29.0, 187841.0)	(30.0, 262316.0)	(31.0, 378630.0)	(32.0, 550642.0)	(33.0, 899308.0)	(34.0, 1704360.0)	(35.0, 5116199.0)	(36.0, 17563167.0)	(37.0, 348692.0)
