Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
MSM79H5E_R1	(1.0, 14.581923524357698)	(2.0, 10.982443601304755)	(3.0, 7.65288665516009)	(4.0, 5.28592826891932)	(5.0, 3.3911450056645807)	(6.0, 2.363156654171641)	(7.0, 1.82559173959656)	(8.0, 1.283464746538523)	(9.0, 1.0196245409408526)	('>10', 15.045734836791642)	('>50', 5.748979234939439)	('>100', 18.312183030588734)	('>500', 3.0208563021312513)	('>1k', 9.486081858894913)	('>5k', 0.0)	('>10k+', 0.0)
MSM79H5E_R2	(1.0, 23.668063169580062)	(2.0, 12.173146085356489)	(3.0, 8.654262882169116)	(4.0, 5.812087987287009)	(5.0, 3.9728100122415775)	(6.0, 2.851299051848022)	(7.0, 2.12896995871319)	(8.0, 1.6970931956599427)	(9.0, 1.4233684866825325)	('>10', 15.201605851626002)	('>50', 4.773454786000502)	('>100', 7.9205285928268925)	('>500', 3.654224864848425)	('>1k', 6.069085075160243)	('>5k', 0.0)	('>10k+', 0.0)
MSM79H81_R1	(1.0, 11.911676526280724)	(2.0, 12.48041129964986)	(3.0, 9.978434622407848)	(4.0, 6.822670547830614)	(5.0, 4.2740202198286)	(6.0, 2.606202411913336)	(7.0, 1.7042498075831705)	(8.0, 1.2354106346926967)	(9.0, 0.9430755389789469)	('>10', 10.529658587690562)	('>50', 4.107517811395608)	('>100', 10.545377420923845)	('>500', 4.825938021171148)	('>1k', 8.719815369626172)	('>5k', 4.556590652856256)	('>10k+', 4.758950527170654)
MSM79H81_R2	(1.0, 19.490850495489305)	(2.0, 9.827861778921228)	(3.0, 7.644239506156183)	(4.0, 5.237477547715523)	(5.0, 3.4567582032089947)	(6.0, 2.2134628337748112)	(7.0, 1.641355495752286)	(8.0, 1.268760229250941)	(9.0, 0.9893095483061828)	('>10', 10.7551961249943)	('>50', 4.071392984410167)	('>100', 9.637824151382821)	('>500', 3.9543872724809512)	('>1k', 9.500105728697537)	('>5k', 4.520053582744184)	('>10k+', 5.790964516714562)
MSM79H8D_R1	(1.0, 15.151397121640755)	(2.0, 11.192700351073787)	(3.0, 6.618375801602333)	(4.0, 3.8382251320304435)	(5.0, 2.3777026378783725)	(6.0, 1.5842231911716003)	(7.0, 1.1778731646106166)	(8.0, 0.8823016212444945)	(9.0, 0.7345662862205543)	('>10', 9.297727130444425)	('>50', 3.8174808058977208)	('>100', 10.24100635605024)	('>500', 4.870092467371802)	('>1k', 11.421577240173605)	('>5k', 6.032848571928966)	('>10k+', 10.76190212066033)
MSM79H8D_R2	(1.0, 15.889869189122813)	(2.0, 10.535030658828173)	(3.0, 6.496616400503918)	(4.0, 3.884981381164402)	(5.0, 2.463745612982635)	(6.0, 1.6513696120212744)	(7.0, 1.264597105418949)	(8.0, 1.0267594110004794)	(9.0, 0.8465316608876557)	('>10', 10.568739924914947)	('>50', 4.341234427910734)	('>100', 11.167367860332496)	('>500', 5.072270326122394)	('>1k', 10.846146766540556)	('>5k', 3.3410048854306207)	('>10k+', 10.603734776817925)
MSM9VZFL_R1	(1.0, 10.684595910735291)	(2.0, 7.45332561236364)	(3.0, 4.403052298831252)	(4.0, 2.626435131118619)	(5.0, 1.7138729954659044)	(6.0, 1.1785221828496053)	(7.0, 0.9524333997074126)	(8.0, 0.7608916904501635)	(9.0, 0.6854742243327858)	('>10', 10.64323074361889)	('>50', 4.838479374150278)	('>100', 12.584304545065873)	('>500', 5.4724180892552745)	('>1k', 14.159125939772071)	('>5k', 6.5422855504227915)	('>10k+', 15.301552311860132)
MSM9VZFL_R2	(1.0, 11.807662136225314)	(2.0, 7.314401516564503)	(3.0, 4.444508216649683)	(4.0, 2.710426493609086)	(5.0, 1.8156418137129169)	(6.0, 1.3169240232777688)	(7.0, 1.0887874034283342)	(8.0, 0.845887956648162)	(9.0, 0.7545623539126732)	('>10', 11.3639842073199)	('>50', 5.1723027924485665)	('>100', 14.00538676662381)	('>500', 6.399323554500161)	('>1k', 12.915160957387773)	('>5k', 5.351144762820713)	('>10k+', 12.693895044870644)
MSM9VZL5_R1	(1.0, 13.58464388269687)	(2.0, 10.206545967858302)	(3.0, 6.41114074011842)	(4.0, 3.7126265058701273)	(5.0, 2.243798857723734)	(6.0, 1.4510742374840337)	(7.0, 1.070484457195604)	(8.0, 0.7959470453020991)	(9.0, 0.6742262596122125)	('>10', 10.256892416951372)	('>50', 4.8375444671645855)	('>100', 11.296694249729464)	('>500', 4.462605157037948)	('>1k', 11.18979348154788)	('>5k', 4.995634161346159)	('>10k+', 12.810348112361138)
MSM9VZL5_R2	(1.0, 14.75210460137303)	(2.0, 9.695110963145988)	(3.0, 6.14336472589273)	(4.0, 3.6358535174352085)	(5.0, 2.3628532899568717)	(6.0, 1.5185718114235902)	(7.0, 1.1471670386847632)	(8.0, 0.9112756705027845)	(9.0, 0.7782375098797736)	('>10', 10.60765412133839)	('>50', 5.132689990998881)	('>100', 14.013365020132365)	('>500', 5.998581078156423)	('>1k', 11.769227068996631)	('>5k', 2.332313282179778)	('>10k+', 9.20163030990278)
MSM9VZL9_R1	(1.0, 15.485610673633301)	(2.0, 9.33255272782366)	(3.0, 4.699290331730135)	(4.0, 2.3995034087190623)	(5.0, 1.4467665774138219)	(6.0, 1.0499344855611927)	(7.0, 0.7870320872362698)	(8.0, 0.6650672141027633)	(9.0, 0.5726763635335543)	('>10', 9.37694720586363)	('>50', 4.692994276675842)	('>100', 11.665304430472041)	('>500', 4.962671030494213)	('>1k', 11.79649902795123)	('>5k', 5.375230704230004)	('>10k+', 15.691919454559258)
MSM9VZL9_R2	(1.0, 16.272371813272247)	(2.0, 9.036599256327412)	(3.0, 4.684811011695427)	(4.0, 2.5067666570874922)	(5.0, 1.5478533423893919)	(6.0, 1.1088035474774691)	(7.0, 0.8285689383103426)	(8.0, 0.6630868145782591)	(9.0, 0.5776040554630937)	('>10', 9.473227333712279)	('>50', 5.005331483188543)	('>100', 13.718078019883073)	('>500', 6.732712924464179)	('>1k', 13.31164290549361)	('>5k', 4.532727402030192)	('>10k+', 9.999814494627056)
PSM7J14X_R1	(1.0, 18.284268729947396)	(2.0, 11.390717716056635)	(3.0, 6.429772538834515)	(4.0, 3.473206065457864)	(5.0, 2.0641237161112302)	(6.0, 1.4012822379413654)	(7.0, 1.1195997486938587)	(8.0, 0.8694170943130093)	(9.0, 0.8027023368025132)	('>10', 11.767366287662243)	('>50', 5.252919344456434)	('>100', 12.23072629503623)	('>500', 4.703007993728905)	('>1k', 11.022143264361008)	('>5k', 3.9383038675844646)	('>10k+', 5.25044276301234)
PSM7J14X_R2	(1.0, 22.035481085585605)	(2.0, 10.542145667760304)	(3.0, 5.91750589368394)	(4.0, 3.3622936181527687)	(5.0, 2.0761094385376557)	(6.0, 1.4363824303623403)	(7.0, 1.1361927237636362)	(8.0, 0.9054951803071736)	(9.0, 0.8352450069541606)	('>10', 12.33526714613212)	('>50', 5.8256082810714025)	('>100', 12.947974776924717)	('>500', 4.947507543841818)	('>1k', 8.38498639833129)	('>5k', 3.046243731454544)	('>10k+', 4.265561077136474)
PSM7J15O_R1	(1.0, 6.542337588006483)	(2.0, 3.884505076247923)	(3.0, 2.199869452438822)	(4.0, 1.2973923379011674)	(5.0, 0.8563311404343777)	(6.0, 0.6705694767973909)	(7.0, 0.5410558225455265)	(8.0, 0.46341124299585723)	(9.0, 0.4033534127944818)	('>10', 5.928146835204958)	('>50', 2.9269825983921853)	('>100', 9.25339013720922)	('>500', 5.278973956173401)	('>1k', 13.75103448166004)	('>5k', 6.379370624188577)	('>10k+', 39.62327581700959)
PSM7J15O_R2	(1.0, 7.159101349275511)	(2.0, 3.9243853712728183)	(3.0, 2.235774800504013)	(4.0, 1.392057012021231)	(5.0, 0.9307578956016552)	(6.0, 0.7382187536852589)	(7.0, 0.6127041525740742)	(8.0, 0.5083575171295)	(9.0, 0.442943388277516)	('>10', 6.296369534054838)	('>50', 2.753130744323118)	('>100', 9.541989742877263)	('>500', 6.453783766080025)	('>1k', 16.860305227627325)	('>5k', 9.118426183145736)	('>10k+', 31.031694561550122)
PSM7J16U_R1	(1.0, 14.785531229557805)	(2.0, 10.733904329769604)	(3.0, 7.307737425597023)	(4.0, 4.843536103212735)	(5.0, 3.294868799686148)	(6.0, 2.326208187485591)	(7.0, 1.6376173940818743)	(8.0, 1.295181778868225)	(9.0, 1.0817274779788932)	('>10', 11.06118895480375)	('>50', 3.7134949549891836)	('>100', 9.52187876277026)	('>500', 4.215567066673659)	('>1k', 10.459983608532115)	('>5k', 3.949091631621065)	('>10k+', 9.772482294372018)
PSM7J16U_R2	(1.0, 20.74304347442887)	(2.0, 9.074550682081089)	(3.0, 6.262818058892397)	(4.0, 4.1830257754793205)	(5.0, 2.9298774482696137)	(6.0, 2.1217361932653147)	(7.0, 1.660848657739622)	(8.0, 1.3220873378059588)	(9.0, 1.040213262452579)	('>10', 12.468753821068015)	('>50', 4.16910856498037)	('>100', 9.3741449116145)	('>500', 3.407400000160931)	('>1k', 7.0282038529101225)	('>5k', 2.304967133332904)	('>10k+', 11.909220825518393)
