Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
MSM9VZFL_R1	(25.0, 6.0)	(26.0, 42.0)	(27.0, 240.0)	(28.0, 917.0)	(29.0, 3173.0)	(30.0, 9059.0)	(31.0, 22489.0)	(32.0, 49635.0)	(33.0, 100895.0)	(34.0, 208090.0)	(35.0, 501501.0)	(36.0, 4840319.0)	(37.0, 2111217.0)			
MSM9VZFL_R2	(23.0, 1.0)	(24.0, 14.0)	(25.0, 135.0)	(26.0, 996.0)	(27.0, 4420.0)	(28.0, 15164.0)	(29.0, 41715.0)	(30.0, 95799.0)	(31.0, 186031.0)	(32.0, 321847.0)	(33.0, 513287.0)	(34.0, 800703.0)	(35.0, 1397692.0)	(36.0, 4367874.0)	(37.0, 101905.0)	
MSM9VZHX_R1	(25.0, 1.0)	(26.0, 27.0)	(27.0, 129.0)	(28.0, 504.0)	(29.0, 1711.0)	(30.0, 5265.0)	(31.0, 13510.0)	(32.0, 34282.0)	(33.0, 84244.0)	(34.0, 209240.0)	(35.0, 589912.0)	(36.0, 3309334.0)	(37.0, 531480.0)			
MSM9VZHX_R2	(22.0, 1.0)	(23.0, 25.0)	(24.0, 309.0)	(25.0, 2166.0)	(26.0, 10369.0)	(27.0, 35267.0)	(28.0, 96901.0)	(29.0, 210804.0)	(30.0, 375967.0)	(31.0, 572266.0)	(32.0, 759778.0)	(33.0, 882399.0)	(34.0, 876599.0)	(35.0, 677208.0)	(36.0, 279177.0)	(37.0, 403.0)
MSM9VZL5_R1	(24.0, 2.0)	(25.0, 9.0)	(26.0, 61.0)	(27.0, 314.0)	(28.0, 1160.0)	(29.0, 3874.0)	(30.0, 10269.0)	(31.0, 24729.0)	(32.0, 53632.0)	(33.0, 108938.0)	(34.0, 223372.0)	(35.0, 539533.0)	(36.0, 5497171.0)	(37.0, 2703423.0)		
MSM9VZL5_R2	(23.0, 1.0)	(24.0, 14.0)	(25.0, 191.0)	(26.0, 1300.0)	(27.0, 5800.0)	(28.0, 19585.0)	(29.0, 51746.0)	(30.0, 115948.0)	(31.0, 220884.0)	(32.0, 373046.0)	(33.0, 586921.0)	(34.0, 911968.0)	(35.0, 1588584.0)	(36.0, 5161253.0)	(37.0, 129246.0)	
MSM9VZL9_R1	(24.0, 3.0)	(25.0, 14.0)	(26.0, 103.0)	(27.0, 584.0)	(28.0, 2320.0)	(29.0, 7939.0)	(30.0, 21953.0)	(31.0, 53657.0)	(32.0, 115943.0)	(33.0, 234025.0)	(34.0, 465189.0)	(35.0, 1085141.0)	(36.0, 9398566.0)	(37.0, 3863517.0)		
MSM9VZL9_R2	(23.0, 2.0)	(24.0, 25.0)	(25.0, 249.0)	(26.0, 1732.0)	(27.0, 7762.0)	(28.0, 26852.0)	(29.0, 74084.0)	(30.0, 167834.0)	(31.0, 326321.0)	(32.0, 568665.0)	(33.0, 911163.0)	(34.0, 1448255.0)	(35.0, 2584169.0)	(36.0, 8858909.0)	(37.0, 272932.0)	
PSM7J14X_R1	(25.0, 3.0)	(26.0, 18.0)	(27.0, 106.0)	(28.0, 430.0)	(29.0, 1665.0)	(30.0, 4913.0)	(31.0, 13947.0)	(32.0, 37309.0)	(33.0, 97629.0)	(34.0, 266549.0)	(35.0, 805081.0)	(36.0, 4232753.0)	(37.0, 857352.0)			
PSM7J14X_R2	(23.0, 2.0)	(24.0, 35.0)	(25.0, 437.0)	(26.0, 2660.0)	(27.0, 10828.0)	(28.0, 33477.0)	(29.0, 81732.0)	(30.0, 167428.0)	(31.0, 295350.0)	(32.0, 460990.0)	(33.0, 662885.0)	(34.0, 920822.0)	(35.0, 1330933.0)	(36.0, 2313221.0)	(37.0, 36955.0)	
PSM7J15O_R1	(24.0, 2.0)	(25.0, 31.0)	(26.0, 186.0)	(27.0, 691.0)	(28.0, 2405.0)	(29.0, 7143.0)	(30.0, 18538.0)	(31.0, 42182.0)	(32.0, 88222.0)	(33.0, 170980.0)	(34.0, 338468.0)	(35.0, 779938.0)	(36.0, 5984769.0)	(37.0, 2176588.0)		
PSM7J15O_R2	(23.0, 2.0)	(24.0, 26.0)	(25.0, 240.0)	(26.0, 1608.0)	(27.0, 7099.0)	(28.0, 23968.0)	(29.0, 63981.0)	(30.0, 142026.0)	(31.0, 271555.0)	(32.0, 461560.0)	(33.0, 723458.0)	(34.0, 1106635.0)	(35.0, 1856639.0)	(36.0, 4861613.0)	(37.0, 89733.0)	
PSM7J16U_R1	(25.0, 1.0)	(26.0, 35.0)	(27.0, 130.0)	(28.0, 581.0)	(29.0, 2114.0)	(30.0, 5882.0)	(31.0, 15348.0)	(32.0, 37192.0)	(33.0, 87374.0)	(34.0, 210004.0)	(35.0, 590526.0)	(36.0, 3687034.0)	(37.0, 737120.0)			
PSM7J16U_R2	(22.0, 3.0)	(23.0, 12.0)	(24.0, 245.0)	(25.0, 2188.0)	(26.0, 10549.0)	(27.0, 37522.0)	(28.0, 99859.0)	(29.0, 215286.0)	(30.0, 390763.0)	(31.0, 612009.0)	(32.0, 842720.0)	(33.0, 1007729.0)	(34.0, 1018720.0)	(35.0, 797457.0)	(36.0, 338056.0)	(37.0, 223.0)
